country,continent,year,lifeExp,pop,gdpPercap
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1982,75.76,25201900,22898.79214
Canada,Americas,1987,76.86,26549700,26626.51503
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
Mexico,Americas,1952,50.789,30144317,3478.125529
Mexico,Americas,1957,55.19,35015548,4131.546641
Mexico,Americas,1962,58.299,41121485,4581.609385
Mexico,Americas,1967,60.11,47995559,5754.733883
Mexico,Americas,1972,62.361,55984294,6809.40669
Mexico,Americas,1977,65.032,63759976,7674.929108
Mexico,Americas,1982,67.405,71640904,9611.147541
Mexico,Americas,1987,69.498,80122492,8688.156003
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
United States,Americas,1952,68.44,157553000,13990.48208
United States,Americas,1957,69.49,171984000,14847.12712
United States,Americas,1962,70.21,186538000,16173.14586
United States,Americas,1967,70.76,198712000,19530.36557
United States,Americas,1972,71.34,209896000,21806.03594
United States,Americas,1977,73.38,220239000,24072.63213
United States,Americas,1982,74.65,232187835,25009.55914
United States,Americas,1987,75.02,242803533,29884.35041
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2007,78.242,301139947,42951.65309
